Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Streams,Popularity
191000,4,0.675,0.862,11,-4.614,1,0.0253,0.0165,0.000427,0.169,0.498,129.967,,58
208133,4,0.608,0.614,2,-3.727,1,0.0285,0.227,3.82E-06,0.157,0.402,127.885,479020750,64
179173,4,0.574,0.408,0,-9.733,1,0.0359,0.799,0.00295,0.15,0.134,126.127,125163715,70
212953,4,0.508,0.43,2,-9.475,0,0.0335,0.83,0.000441,0.093,0.324,130.09,1208356432,87
206218,1,0.4,0.335,1,-8.355,1,0.0389,0.673,0,0.0856,0.208,99.378,,66
187293,4,0.564,0.412,8,-9.23,0,0.0274,0.554,0,0.151,0.29,144.689,248637223,71
214632,4,0.484,0.457,10,-10.205,1,0.0376,0.649,0.477,0.148,0.17,116.9,,72
204094,4,0.841,0.725,11,-5.314,0,0.0624,0.00821,2.15E-06,0.519,0.731,127.047,,66
134116,4,0.841,0.879,1,-4.336,1,0.0743,0.0055,0.00211,0.101,0.458,128.966,,51
216707,4,0.822,0.627,7,-5.826,0,0.126,0.143,0,0.146,0.5,120.057,,51
166315,4,0.622,0.78,1,-6.441,1,0.341,0.0702,0.00233,0.331,0.755,113.184,,59
189824,4,0.74,0.758,1,-5.851,0,0.0921,0.061,1.44E-06,0.0967,0.757,171.925,321248567,73
189824,4,0.74,0.758,1,-5.851,0,0.0921,0.061,1.44E-06,0.0967,0.757,171.925,107388763,73
275526,4,0.596,0.617,9,-7.52,1,0.286,0.481,0,0.659,0.906,98.099,,53
134239,4,0.707,0.955,10,-4.593,0,0.222,0.127,0,0.202,0.575,125.989,896068410,76
203093,4,0.785,0.652,0,-2.607,1,0.0668,0.102,0,0.0697,0.484,170.024,369137220,67
203093,4,0.785,0.652,0,-2.607,1,0.0668,0.102,0,0.0697,0.484,170.024,152852510,67
208666,4,0.764,0.705,8,-3.463,1,0.0284,0.259,8.92E-05,0.12,0.781,110.97,1877714073,81
231750,4,0.868,0.538,5,-8.603,1,0.174,0.269,3.34E-06,0.0901,0.732,99.968,1140834217,81
187040,4,0.651,0.724,7,-5.457,1,0.166,0.172,0,0.13,0.686,144.146,424207811,72
237893,4,0.787,0.673,11,-4.583,0,0.159,0.264,3.35E-06,0.0904,0.779,110.962,237730422,75
237893,4,0.787,0.673,11,-4.583,0,0.159,0.264,3.35E-06,0.0904,0.779,110.962,1215897735,75
226986,4,0.749,0.463,11,-8.433,1,0.0842,0.21,0.0382,0.338,0.189,90.035,1088850285,80
183026,4,0.789,0.604,8,-7.616,0,0.25,0.0768,4.89E-05,0.137,0.765,159.979,566194013,56
172626,4,0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,107.998,1663287986,82
186173,4,0.828,0.621,8,-6.414,1,0.0565,0.0164,0.00233,0.0845,0.436,128.986,857229313,76
202914,4,0.661,0.651,7,-3.771,0,0.0499,0.117,1.32E-05,0.056,0.368,87.46,631755398,67
221820,4,0.73,0.729,4,-3.434,0,0.0884,0.167,1.39E-06,0.349,0.467,113.011,1224696195,75
183290,4,0.793,0.793,11,-4.521,0,0.083,0.0123,0,0.0951,0.679,123.95,2679412524,84
217946,4,0.836,0.544,7,-5.975,1,0.0943,0.0403,0,0.0824,0.51,97.028,1609919397,79
203807,4,0.695,0.884,6,-2.278,0,0.0753,0.0561,0,0.213,0.914,103.014,2124904736,77
203807,4,0.695,0.884,6,-2.278,0,0.0753,0.0561,0,0.213,0.914,103.014,973965280,77
258004,4,0.659,0.667,11,-4.668,0,0.0339,0.00173,2.85E-05,0.1,0.468,115.982,683046215,72
209320,4,0.762,0.7,9,-6.021,0,0.0694,0.00261,1.56E-05,0.153,0.608,116.073,2144855293,82
193829,4,0.647,0.844,0,-3.756,1,0.0457,0.0137,0.000658,0.102,0.746,146.967,997019168,78
165506,4,0.722,0.588,6,-5.932,1,0.0544,0.0319,0,0.183,0.59,134.01,522969916,68
230746,4,0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79E-05,0.366,0.537,126.011,1786603551,80
261153,4,0.461,0.834,2,-4.868,1,0.0989,0.0232,1.14E-05,0.14,0.471,135.007,1362067328,78
170826,4,0.624,0.876,9,-3.374,1,0.1,0.0735,0,0.327,0.781,99.943,1333100686,77
207520,4,0.522,0.385,0,-7.355,1,0.0288,0.536,0,0.135,0.236,89.792,1337498361,75
219946,4,0.798,0.676,6,-5.041,1,0.0442,0.0902,0,0.0894,0.843,101.956,1838711770,74
219946,4,0.798,0.676,6,-5.041,1,0.0442,0.0902,0,0.0894,0.843,101.956,175555909,74
263400,3,0.599,0.448,8,-6.312,1,0.0232,0.163,0,0.106,0.168,95.05,3040567433,86
258986,4,0.614,0.379,4,-10.48,1,0.0476,0.607,0.000464,0.0986,0.201,107.989,2575216556,82
233712,4,0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,3973446189,85
233712,4,0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,186981493,85
207853,4,0.788,0.859,2,-2.724,1,0.0856,0.281,0,0.0424,0.822,141.02,1612002039,82
281560,4,0.781,0.445,2,-6.061,1,0.0295,0.474,0,0.184,0.591,78.998,2542751447,81
226821,3,0.681,0.664,6,-8.019,0,0.0353,0.335,0,0.0418,0.861,102.166,325685025,71
209902,3,0.555,0.832,11,-3.691,1,0.0412,0.28,0,0.0894,0.43,170.124,,74
245203,4,0.62,0.461,1,-7.688,1,0.0268,0.605,2.90E-05,0.0758,0.561,97.659,,44
231291,4,0.871,0.595,2,-7.584,1,0.189,0.165,4.73E-06,0.379,0.369,132.042,,28
189809,4,0.459,0.543,8,-8.763,1,0.408,0.637,3.08E-05,0.0886,0.556,170.881,,44
271861,4,0.537,0.602,7,-4.631,1,0.0458,0.296,0,0.0715,0.753,157.437,,71
204815,3,0.809,0.849,4,-6.769,0,0.0738,0.251,7.36E-05,0.325,0.753,126,233488562,79
149073,4,0.69,0.482,7,-6.335,0,0.2,0.523,0.0004,0.0728,0.356,100.029,,84
228853,1,0.748,0.739,7,-1.972,1,0.0381,0.461,4.70E-06,0.0834,0.962,115.966,,62
200161,3,0.819,0.48,5,-6.966,1,0.0489,0.685,2.03E-06,0.116,0.759,114.04,,63
193816,4,0.57,0.71,0,-4.526,1,0.0304,0.0898,0,0.292,0.752,172.719,,78
169418,4,0.497,0.644,10,-4.309,1,0.0443,0.188,0,0.114,0.779,162.542,,81
194563,4,0.571,0.72,9,-4.089,1,0.0458,0.213,0,0.271,0.542,83.827,1059492842,79
181948,4,0.848,0.649,2,-6.083,1,0.315,0.232,0,0.101,0.629,118.04,137415958,57
197760,4,0.825,0.458,0,-7.47,1,0.0577,0.114,0,0.102,0.161,145.115,396924351,68
136266,1,0.773,0.422,1,-4.572,0,0.187,0.00783,0.00693,0.129,0.488,77.502,375031129,69
176946,4,0.8,0.754,1,-5.259,0,0.216,0.0668,0,0.278,0.334,134.136,,60
